Name,geo_loc
Bangalore Banashankari,"(12.9152208, 77.573598)"
Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
Bangalore Jayanagar,"(12.9292731, 77.5824229)"
Bangalore Kumaraswamy Layout,"(12.9081487, 77.5553179)"
Bangalore Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
Bangalore Mysore Road,"(12.5523878, 76.9685867)"
Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
Bangalore South Bangalore,"(12.862467899999999, 77.56089325971044)"
Bangalore Vijay Nagar,
Bangalore Bannerghatta Road,"(12.8264929, 77.5864733)"
Bangalore JP Nagar,"(12.9072515, 77.5782713)"
Bangalore BTM,"(12.911275849999999, 77.60456543431182)"
Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
Bangalore Koramangala 5th Block,"(13.2923988, 77.7519261)"
Bangalore Shanti Nagar,"(12.9575547, 77.5979099)"
Bangalore Richmond Road,"(12.970097, 77.617066)"
Bangalore City Market,"(12.965717999999999, 77.5762705372058)"
Bangalore Bellandur,"(12.9791198, 77.5912997)"
Bangalore Sarjapur Road,"(12.9242381, 77.6289059)"
Bangalore Marathahalli,"(12.9552572, 77.6984163)"
Bangalore HSR,"(12.9116225, 77.6388622)"
Bangalore Old Airport Road,"(12.9606699, 77.6422283)"
Bangalore Indiranagar,"(12.9732913, 77.6404672)"
Bangalore Koramangala 1st Block,"(12.9243509, 77.6255562)"
Bangalore East Bangalore,"(12.992303549999999, 77.70593990523807)"
Bangalore MG Road,"(12.9741854, 77.6124135)"
Bangalore Brigade Road,"(12.9736132, 77.6074716)"
Bangalore Lavelle Road,"(12.9749565, 77.5997278)"
Bangalore Church Street,"(12.9742939, 77.6525189)"
Bangalore Ulsoor,"(12.9778793, 77.6246697)"
Bangalore Residency Road,"(13.0535126, 77.6231566)"
Bangalore Shivajinagar,"(12.986391, 77.6075416)"
Bangalore Infantry Road,"(12.980271, 77.6042389)"
Bangalore St. Marks Road,"(12.9779057, 77.6022008)"
Bangalore Cunningham Road,"(12.9871119, 77.5948766)"
Bangalore Race Course Road,"(12.9843313, 77.5876059)"
Bangalore Domlur,"(12.9624669, 77.6381958)"
Bangalore Koramangala 8th Block,"(12.9417812, 77.6160146)"
Bangalore Frazer Town,"(12.996845, 77.6130165)"
Bangalore Ejipura,"(12.945245, 77.6269144)"
Bangalore Vasanth Nagar,"(12.988721250000001, 77.58516877601824)"
Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
Bangalore Old Madras Road,"(13.0280381, 77.7236769)"
Bangalore Commercial Street,"(12.9821931, 77.6083132)"
Bangalore Koramangala 6th Block,"(13.2923988, 77.7519261)"
Bangalore Majestic,"(12.9757079, 77.5728757)"
Bangalore Langford Town,"(12.957998, 77.6037312)"
Bangalore Koramangala 7th Block,"(13.2923988, 77.7519261)"
Bangalore Brookefield,"(12.9668213, 77.7168891)"
Bangalore Whitefield,"(12.9696365, 77.7497448)"
"Bangalore ITPL Main Road, Whitefield",
"Bangalore Varthur Main Road, Whitefield","(12.969444, 77.7499922)"
Bangalore Koramangala 2nd Block,"(12.923525399999999, 77.62228735395182)"
Bangalore Koramangala 3rd Block,"(12.9271867, 77.6266252)"
Bangalore Koramangala 4th Block,"(12.93433385, 77.63040639553275)"
Bangalore Koramangala,"(13.2923988, 77.7519261)"
Bangalore Bommanahalli,"(12.9089453, 77.6239038)"
Bangalore Hosur Road,"(12.93164, 77.6138743)"
Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
Bangalore Electronic City,"(12.9791198, 77.5912997)"
Bangalore Banaswadi,"(13.0141618, 77.6518539)"
Bangalore North Bangalore,"(12.9791198, 77.5912997)"
Bangalore RT Nagar,"(13.0227204, 77.595715)"
Bangalore Kammanahalli,"(13.0093455, 77.6377094)"
Bangalore Hennur,"(13.0258087, 77.6305067)"
Bangalore HBR Layout,"(13.0358698, 77.6323597)"
Bangalore Kalyan Nagar,"(13.0221416, 77.6403368)"
Bangalore Thippasandra,"(12.973936, 77.6509982)"
Bangalore CV Raman Nagar,
Bangalore Kaggadasapura,"(12.9846713, 77.6790908)"
Bangalore Kanakapura Road,"(12.8743272, 77.5413886)"
Bangalore Nagawara,"(13.0431413, 77.6209093)"
Bangalore Rammurthy Nagar,
Bangalore Sankey Road,"(13.0054129, 77.5806358)"
Bangalore Central Bangalore,"(12.97339325, 77.61123426914668)"
Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
Bangalore Sadashiv Nagar,
Bangalore Basaveshwara Nagar,"(12.9932236, 77.5391579)"
Bangalore Rajajinagar,"(12.9882338, 77.554883)"
Bangalore New BEL Road,"(13.0288251, 77.5711478)"
Bangalore West Bangalore,"(12.9791198, 77.5912997)"
Bangalore Yeshwantpur,"(13.02383, 77.5529215)"
Bangalore Sanjay Nagar,"(12.9578658, 77.6958748)"
Bangalore Sahakara Nagar,"(13.0621474, 77.58006135480495)"
Bangalore Jalahalli,"(13.0464531, 77.5483803)"
Bangalore Yelahanka,"(13.1006982, 77.5963454)"
Bangalore Magadi Road,"(12.9890242, 77.4718714)"
Bangalore KR Puram,"(13.007516, 77.695935)"
